iter	Passed	Remaining
460	777	908
461	778	906
462	779	903
463	780	901
464	781	898
465	782	896
466	783	893
467	784	891
468	785	889
469	786	887
470	787	884
471	788	882
472	789	880
473	791	877
474	791	875
475	793	873
476	794	870
477	795	868
478	796	866
479	797	863
480	798	861
481	800	860
482	801	858
483	802	856
484	804	853
485	805	851
486	806	849
487	807	846
488	808	844
489	809	842
490	810	840
491	811	837
492	812	835
493	814	834
494	815	832
495	816	830
496	818	827
497	819	825
498	820	823
499	821	821
500	822	819
501	823	817
502	824	814
503	825	812
504	826	810
505	827	807
506	828	805
507	829	803
508	830	801
509	831	798
510	832	796
511	832	793
512	833	791
513	834	789
514	835	786
515	836	784
516	836	781
517	837	779
518	838	777
519	839	774
520	840	772
521	842	771
522	843	769
523	845	767
524	846	765
525	847	763
526	848	761
527	849	759
528	850	756
529	851	754
530	852	752
531	853	750
532	853	748
533	855	746
534	855	743
535	856	741
536	858	740
537	859	737
538	860	735
539	861	733
540	862	731
541	863	729
542	864	727
543	866	725
544	867	723
545	868	721
546	869	720
547	871	718
548	872	716
549	874	715
550	875	713
551	876	711
552	877	709
553	878	707
554	879	705
555	880	703
556	882	701
557	883	699
558	884	697
559	885	695
560	886	694
561	888	692
562	889	690
563	890	688
564	891	686
565	892	684
566	893	682
567	894	680
568	895	678
569	896	676
570	897	674
571	898	672
572	899	670
573	901	668
574	902	666
575	903	665
576	904	663
577	905	661
578	907	659
579	908	657
580	909	656
581	910	654
582	911	652
583	912	650
584	913	648
585	914	646
586	916	644
587	917	642
588	918	640
589	918	638
590	919	636
591	920	634
592	921	632
593	922	630
594	922	628
595	923	626
596	924	624
597	925	622
598	926	619
599	926	617
600	927	615
601	928	613
602	929	611
603	930	610
604	932	608
605	933	607
606	934	605
607	935	603
608	936	601
609	937	599
610	938	597
611	939	595
612	940	593
613	941	591
614	941	589
615	942	587
616	944	586
617	946	584
618	947	582
619	948	581
620	949	579
621	950	577
622	951	575
623	952	573
624	953	572
625	954	570
626	955	568
627	957	567
628	958	565
629	959	563
630	960	561
631	961	560
632	962	558
633	963	556
634	964	554
635	965	552
636	966	550
637	967	549
638	968	547
639	969	545
640	970	543
641	972	542
642	973	540
643	974	538
644	975	537
645	976	535
646	977	533
647	978	531
648	980	530
649	981	528
650	982	526
651	983	524
652	984	523
653	985	521
654	986	519
655	988	518
656	989	516
657	990	514
658	991	513
659	992	511
660	993	509
661	994	507
662	995	506
663	996	504
664	997	502
665	998	500
666	1000	499
667	1001	497
668	1002	496
669	1004	494
670	1005	492
671	1006	491
672	1007	489
673	1008	487
674	1009	486
675	1010	484
676	1011	482
677	1012	481
678	1013	479
679	1014	477
680	1016	476
681	1018	474
682	1019	473
683	1020	471
684	1021	469
685	1022	468
686	1023	466
687	1024	464
688	1025	463
689	1026	461
690	1027	459
691	1029	458
692	1030	456
693	1031	454
694	1032	453
695	1033	451
696	1034	449
697	1035	448
698	1037	446
699	1038	445
700	1039	443
701	1040	441
702	1041	440
703	1042	438
704	1043	436
705	1044	435
706	1045	433
707	1047	431
708	1048	430
709	1049	428
710	1050	426
711	1051	425
712	1052	423
713	1053	421
714	1054	420
715	1055	418
716	1056	416
717	1057	415
718	1058	413
719	1060	412
720	1061	410
721	1062	409
722	1063	407
723	1064	405
724	1065	404
725	1066	402
726	1067	400
727	1068	399
728	1069	397
729	1070	395
730	1071	394
731	1073	392
732	1074	391
733	1075	389
734	1077	388
735	1078	386
736	1079	385
737	1080	383
738	1081	381
739	1082	380
740	1083	378
741	1084	377
742	1085	375
743	1086	373
744	1088	372
745	1090	371
746	1091	369
747	1092	368
748	1093	366
749	1094	364
750	1095	363
751	1096	361
752	1097	359
753	1098	358
754	1099	356
755	1100	355
756	1101	353
757	1102	352
758	1103	350
759	1104	348
760	1105	347
761	1106	345
762	1107	344
763	1108	342
764	1109	340
765	1110	339
766	1111	337
767	1112	336
768	1113	334
769	1114	332
770	1115	331
771	1141	337
772	1142	335
773	1143	333
774	1144	332
775	1145	330
776	1146	328
777	1146	327
778	1147	325
779	1148	324
780	1150	322
781	1151	321
782	1153	319
783	1154	317
784	1155	316
785	1156	314
786	1157	313
787	1158	311
788	1159	310
789	1160	308
790	1161	306
791	1162	305
792	1164	303
793	1165	302
794	1166	300
795	1167	299
796	1168	297
797	1169	296
798	1170	294
799	1171	292
800	1172	291
801	1173	289
802	1174	288
803	1175	286
804	1177	285
805	1179	283
806	1180	282
807	1181	280
808	1182	279
809	1183	277
810	1184	276
811	1186	274
812	1187	273
813	1188	271
814	1189	270
815	1191	268
816	1192	267
817	1194	265
818	1195	264
819	1196	262
820	1197	261
821	1198	259
822	1199	257
823	1200	256
824	1201	254
825	1202	253
826	1204	251
827	1205	250
828	1207	249
829	1208	247
830	1209	245
831	1210	244
832	1211	242
833	1212	241
834	1213	239
835	1214	238
836	1215	236
837	1216	235
838	1217	233
839	1218	232
840	1220	230
841	1221	229
842	1222	227
843	1223	226
844	1225	224
845	1226	223
846	1227	221
847	1228	220
848	1229	218
849	1230	217
850	1231	215
851	1232	214
852	1232	212
853	1233	210
854	1234	209
855	1235	207
856	1236	206
857	1237	204
858	1238	203
859	1239	201
860	1240	200
861	1241	198
862	1242	197
863	1243	195
864	1244	194
865	1244	192
866	1245	191
867	1246	189
868	1247	187
869	1247	186
870	1249	185
871	1250	183
872	1252	182
873	1253	180
874	1254	179
875	1255	177
876	1256	176
877	1257	174
878	1259	173
879	1260	171
880	1261	170
881	1262	168
882	1263	167
883	1265	165
884	1266	164
885	1267	163
886	1268	161
887	1269	160
888	1270	158
889	1271	157
890	1272	155
891	1273	154
892	1275	152
893	1276	151
894	1277	149
895	1278	148
896	1279	146
897	1280	145
898	1281	144
899	1282	142
900	1283	141
901	1284	139
902	1285	138
903	1286	136
904	1288	135
905	1289	133
906	1290	132
907	1291	130
908	1292	129
909	1293	127
910	1294	126
911	1295	125
912	1296	123
913	1297	122
914	1298	120
915	1300	119
916	1301	117
917	1302	116
918	1303	114
919	1304	113
920	1305	111
921	1306	110
922	1307	109
923	1308	107
924	1310	106
925	1311	104
926	1312	103
927	1313	101
928	1314	100
929	1315	99
930	1316	97
931	1317	96
932	1318	94
933	1319	93
934	1321	91
935	1322	90
936	1323	88
937	1324	87
938	1325	86
939	1326	84
940	1327	83
941	1328	81
942	1329	80
943	1330	78
944	1331	77
945	1333	76
946	1334	74
947	1335	73
948	1336	71
949	1337	70
950	1338	68
951	1339	67
952	1341	66
953	1342	64
954	1343	63
955	1344	61
956	1345	60
957	1346	59
958	1347	57
959	1348	56
960	1349	54
961	1351	53
962	1352	51
963	1352	50
964	1353	49
965	1354	47
966	1355	46
967	1356	44
968	1358	43
969	1359	42
970	1360	40
971	1361	39
972	1362	37
973	1363	36
974	1364	34
975	1365	33
976	1366	32
977	1367	30
978	1368	29
979	1368	27
980	1369	26
981	1370	25
982	1371	23
983	1372	22
984	1372	20
985	1373	19
986	1374	18
987	1375	16
988	1375	15
989	1376	13
990	1377	12
991	1378	11
992	1379	9
993	1380	8
994	1381	6
995	1382	5
996	1383	4
997	1383	2
998	1384	1
999	1385	0
