iter	Passed	Remaining
455	861	1028
456	863	1026
457	865	1024
458	867	1021
459	868	1019
460	869	1017
461	871	1014
462	872	1012
463	874	1010
464	876	1008
465	878	1006
466	879	1003
467	880	1001
468	882	998
469	883	996
470	884	993
471	885	991
472	887	988
473	888	986
474	890	984
475	892	982
476	893	979
477	895	977
478	896	975
479	897	972
480	899	970
481	900	967
482	902	965
483	904	963
484	906	962
485	909	961
486	911	959
487	912	957
488	913	954
489	914	952
490	915	949
491	916	946
492	918	944
493	919	942
494	921	940
495	922	937
496	923	934
497	924	932
498	925	929
499	927	927
500	928	924
501	929	922
502	931	919
503	932	917
504	934	916
505	936	914
506	938	912
507	940	910
508	942	909
509	944	907
510	947	907
511	949	904
512	951	903
513	952	900
514	955	900
515	959	899
516	965	902
517	967	900
518	968	897
519	970	895
520	971	893
521	973	891
522	974	889
523	977	887
524	979	885
525	981	884
526	982	881
527	983	879
528	985	877
529	986	874
530	988	872
531	989	870
532	991	868
533	992	866
534	994	864
535	995	861
536	997	859
537	998	857
538	1000	855
539	1002	853
540	1003	851
541	1005	849
542	1007	847
543	1008	845
544	1010	843
545	1011	840
546	1012	838
547	1013	836
548	1015	834
549	1016	832
550	1019	830
551	1021	829
552	1023	827
553	1025	825
554	1028	824
555	1031	823
556	1032	821
557	1034	819
558	1035	817
559	1037	815
560	1039	813
561	1041	811
562	1043	809
563	1045	807
564	1046	805
565	1048	803
566	1050	801
567	1051	800
568	1053	797
569	1054	795
570	1056	793
571	1057	791
572	1059	789
573	1060	786
574	1061	784
575	1063	782
576	1065	780
577	1066	778
578	1067	776
579	1068	773
580	1069	771
581	1071	769
582	1073	767
583	1074	765
584	1076	763
585	1078	762
586	1080	760
587	1082	758
588	1083	756
589	1085	754
590	1087	752
591	1088	750
592	1092	749
593	1094	747
594	1095	745
595	1097	744
596	1099	742
597	1100	740
598	1102	737
599	1103	735
600	1106	734
601	1108	732
602	1109	730
603	1110	728
604	1111	725
605	1112	723
606	1114	721
607	1115	718
608	1116	716
609	1117	714
610	1120	713
611	1122	711
612	1124	710
613	1126	708
614	1128	706
615	1129	704
616	1131	702
617	1132	699
618	1135	698
619	1137	697
620	1138	694
621	1139	692
622	1141	690
623	1142	688
624	1143	686
625	1144	683
626	1146	681
627	1147	679
628	1149	678
629	1151	676
630	1153	674
631	1154	672
632	1156	670
633	1157	668
634	1158	666
635	1160	664
636	1162	662
637	1165	661
638	1166	659
639	1168	657
640	1169	654
641	1170	652
642	1171	650
643	1173	648
644	1174	646
645	1175	644
646	1178	642
647	1180	641
648	1181	638
649	1182	636
650	1183	634
651	1184	632
652	1185	630
653	1186	627
654	1187	625
655	1189	623
656	1190	621
657	1192	619
658	1194	618
659	1195	616
660	1197	613
661	1198	611
662	1199	609
663	1201	607
664	1202	605
665	1203	603
666	1204	601
667	1205	599
668	1207	597
669	1208	595
670	1210	593
671	1211	591
672	1213	589
673	1214	587
674	1215	585
675	1216	583
676	1218	581
677	1219	579
678	1220	577
679	1222	575
680	1224	573
681	1225	571
682	1226	569
683	1227	567
684	1228	565
685	1230	563
686	1231	561
687	1232	558
688	1234	557
689	1238	556
690	1239	554
691	1241	552
692	1243	550
693	1244	548
694	1246	546
695	1248	545
696	1250	543
697	1252	541
698	1253	539
699	1254	537
700	1255	535
701	1256	533
702	1257	531
703	1258	529
704	1259	527
705	1261	525
706	1276	529
707	1277	527
708	1279	525
709	1281	523
710	1282	521
711	1284	519
712	1285	517
713	1286	515
714	1288	513
715	1289	511
716	1291	509
717	1292	507
718	1294	505
719	1296	504
720	1297	502
721	1299	500
722	1301	498
723	1302	496
724	1304	494
725	1305	492
726	1307	490
727	1309	489
728	1311	487
729	1312	485
730	1314	483
731	1316	481
732	1317	479
733	1319	478
734	1320	476
735	1322	474
736	1325	472
737	1327	471
738	1328	469
739	1329	467
740	1331	465
741	1332	463
742	1334	461
743	1335	459
744	1337	457
745	1340	456
746	1342	454
747	1343	452
748	1345	450
749	1346	448
750	1347	446
751	1348	444
752	1350	442
753	1352	441
754	1354	439
755	1355	437
756	1356	435
757	1358	433
758	1360	431
759	1361	429
760	1362	428
761	1365	426
762	1367	424
763	1369	423
764	1370	421
765	1372	419
766	1374	417
767	1375	415
768	1377	413
769	1379	412
770	1381	410
771	1383	408
772	1384	406
773	1386	404
774	1387	402
775	1388	400
776	1389	398
777	1391	396
778	1393	395
779	1395	393
780	1396	391
781	1398	389
782	1400	388
783	1401	386
784	1403	384
785	1406	382
786	1408	381
787	1410	379
788	1412	377
789	1413	375
790	1415	373
791	1416	372
792	1418	370
793	1422	369
794	1424	367
795	1426	365
796	1428	363
797	1429	361
798	1431	360
799	1432	358
800	1434	356
801	1439	355
802	1441	353
803	1442	351
804	1445	350
805	1446	348
806	1447	346
807	1450	344
808	1453	343
809	1454	341
810	1456	339
811	1457	337
812	1459	335
813	1460	333
814	1461	331
815	1465	330
816	1466	328
817	1468	326
818	1470	324
819	1471	323
820	1473	321
821	1475	319
822	1476	317
823	1478	315
824	1480	314
825	1482	312
826	1483	310
827	1484	308
828	1486	306
829	1488	304
830	1489	302
831	1491	301
832	1495	299
833	1497	298
834	1499	296
835	1500	294
836	1502	292
837	1503	290
838	1504	288
839	1508	287
840	1509	285
841	1511	283
842	1512	281
843	1514	279
844	1515	278
845	1517	276
846	1518	274
847	1519	272
848	1521	270
849	1523	268
850	1525	267
851	1526	265
852	1527	263
853	1529	261
854	1530	259
855	1531	257
856	1532	255
857	1534	253
858	1535	252
859	1537	250
860	1539	248
861	1540	246
862	1542	244
863	1543	242
864	1545	241
865	1546	239
866	1548	237
867	1550	235
868	1552	233
869	1553	232
870	1555	230
871	1557	228
872	1559	226
873	1560	224
874	1561	223
875	1562	221
876	1564	219
877	1566	217
878	1568	215
879	1570	214
880	1571	212
881	1572	210
882	1574	208
883	1577	207
884	1579	205
885	1580	203
886	1582	201
887	1583	199
888	1585	197
889	1586	196
890	1587	194
891	1589	192
892	1594	191
893	1596	189
894	1598	187
895	1600	185
896	1602	184
897	1603	182
898	1608	180
899	1610	178
900	1611	177
901	1612	175
902	1614	173
903	1615	171
904	1616	169
905	1617	167
906	1620	166
907	1622	164
908	1624	162
909	1625	160
910	1627	158
911	1628	157
912	1629	155
913	1631	153
914	1632	151
915	1634	149
916	1636	148
917	1638	146
918	1639	144
919	1640	142
920	1642	140
921	1643	139
922	1644	137
923	1646	135
924	1647	133
925	1648	131
926	1652	130
927	1653	128
928	1654	126
929	1656	124
930	1657	122
931	1659	121
932	1660	119
933	1661	117
934	1663	115
935	1665	113
936	1666	112
937	1668	110
938	1669	108
939	1671	106
940	1673	104
941	1674	103
942	1675	101
943	1677	99
944	1680	97
945	1681	95
946	1683	94
947	1685	92
948	1687	90
949	1688	88
950	1689	87
951	1690	85
952	1692	83
953	1694	81
954	1695	79
955	1696	78
956	1698	76
957	1699	74
958	1700	72
959	1702	70
960	1703	69
961	1706	67
962	1707	65
963	1709	63
964	1710	62
965	1711	60
966	1712	58
967	1713	56
968	1714	54
969	1716	53
970	1717	51
971	1718	49
972	1720	47
973	1722	45
974	1724	44
975	1725	42
976	1727	40
977	1729	38
978	1730	37
979	1732	35
980	1733	33
981	1734	31
982	1736	30
983	1737	28
984	1738	26
985	1739	24
986	1741	22
987	1742	21
988	1743	19
989	1745	17
990	1746	15
991	1748	14
992	1749	12
993	1751	10
994	1753	8
995	1754	7
996	1755	5
997	1757	3
998	1758	1
999	1760	0
